case_id,system,source_type,modification_type,pack_size_category,selected_mod_count,expected_repairable,initial_status,solver_status,issue_types,action_types,final_compatible,repair_success,total_cost,preservation_rate,removed_mod_count,runtime_seconds,runtime_minimum_seconds,runtime_maximum_seconds,runtime_samples_seconds,states_expanded,explanation_complete,passed,failure_category
synthetic-duplicate-selection,baseline,synthetic,none,small,2,True,incompatible,no_solution,duplicate_mod_version,,False,False,0,1.0,0,9.90999978967011e-05,9.490000229561701e-05,0.00011520000407472253,9.490000229561701e-05;9.90999978967011e-05;0.00011520000407472253,0,False,False,repair_not_found
synthetic-duplicate-selection,weighted_default,synthetic,none,small,2,True,incompatible,solution_found,duplicate_mod_version,remove_mod,True,True,10,1.0,0,0.0002482999989297241,0.000247500000114087,0.0002486000012140721,0.000247500000114087;0.0002486000012140721;0.0002482999989297241,2,True,True,
synthetic-duplicate-selection,weighted_preservation,synthetic,none,small,2,True,incompatible,solution_found,duplicate_mod_version,remove_mod,True,True,20,1.0,0,0.00034109999978682026,0.00025380000442964956,0.0003693000035127625,0.00025380000442964956;0.0003693000035127625;0.00034109999978682026,2,True,True,
synthetic-unresolved-selected-mod,baseline,synthetic,none,small,1,False,incompatible,no_solution,unresolved_selected_mod,,False,False,0,1.0,0,6.81000019540079e-05,6.569999823113903e-05,7.009999535512179e-05,6.81000019540079e-05;7.009999535512179e-05;6.569999823113903e-05,0,False,True,
synthetic-unresolved-selected-mod,weighted_default,synthetic,none,small,1,False,incompatible,no_solution,unresolved_selected_mod,,False,False,,1.0,0,0.00010620000102790073,0.0001053000014508143,0.00010670000483514741,0.00010620000102790073;0.00010670000483514741;0.0001053000014508143,1,True,True,
synthetic-unresolved-selected-mod,weighted_preservation,synthetic,none,small,1,False,incompatible,no_solution,unresolved_selected_mod,,False,False,,1.0,0,0.0001016000023810193,9.760000102687627e-05,0.0001019000046653673,9.760000102687627e-05;0.0001016000023810193;0.0001019000046653673,1,True,True,
synthetic-optional-and-embedded,baseline,synthetic,none,small,1,False,compatible_with_warnings,already_compatible,optional_dependency_warning;embedded_dependency_info,add_dependency,True,False,1,1.0,0,0.00016560000221943483,0.00015899999561952427,0.000302100001135841,0.00015899999561952427;0.00016560000221943483;0.000302100001135841,0,False,True,
synthetic-optional-and-embedded,weighted_default,synthetic,none,small,1,False,compatible_with_warnings,already_compatible,optional_dependency_warning;embedded_dependency_info,,True,False,0,1.0,0,0.00022370000078808516,0.0002103000006172806,0.0002510999984224327,0.0002103000006172806;0.0002510999984224327;0.00022370000078808516,0,True,True,
synthetic-optional-and-embedded,weighted_preservation,synthetic,none,small,1,False,compatible_with_warnings,already_compatible,optional_dependency_warning;embedded_dependency_info,,True,False,0,1.0,0,0.00019690000044647604,0.00019590000010794029,0.00019769999926211312,0.00019590000010794029;0.00019690000044647604;0.00019769999926211312,0,True,True,
real-fo-valid,baseline,original_real,none,small,4,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00019210000027669594,0.00017720000323606655,0.0002488000027369708,0.00017720000323606655;0.00019210000027669594;0.0002488000027369708,0,False,True,
real-fo-valid,weighted_default,original_real,none,small,4,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00029680000443477184,0.00028900000324938446,0.0011977999965893105,0.00028900000324938446;0.00029680000443477184;0.0011977999965893105,0,True,True,
real-fo-valid,weighted_preservation,original_real,none,small,4,False,compatible,already_compatible,,,True,False,0,1.0,0,0.0002916000012191944,0.0002778999987640418,0.000320099999953527,0.0002916000012191944;0.0002778999987640418;0.000320099999953527,0,True,True,
real-fo-missing-fabric-api,baseline,modified_real,remove_required_dependency,small,3,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.00021449999621836469,0.0002086000022245571,0.00021890000061830506,0.00021449999621836469;0.00021890000061830506;0.0002086000022245571,0,False,True,
real-fo-missing-fabric-api,weighted_default,modified_real,remove_required_dependency,small,3,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0005033999987062998,0.0004760000010719523,0.0005817999990540557,0.0004760000010719523;0.0005033999987062998;0.0005817999990540557,2,True,True,
real-fo-missing-fabric-api,weighted_preservation,modified_real,remove_required_dependency,small,3,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0004896000027656555,0.0004868000032729469,0.00050560000090627,0.0004868000032729469;0.0004896000027656555;0.00050560000090627,2,True,True,
real-fo-wrong-minecraft,baseline,modified_real,change_minecraft_version,small,4,False,incompatible,no_solution,minecraft_version_mismatch,,False,False,0,1.0,0,0.0002773999949567951,0.0002612999960547313,0.0003775000004679896,0.0003775000004679896;0.0002773999949567951;0.0002612999960547313,0,False,True,
